activity_results_id,workout_activity_id,workout_item_id,distancedone,speeddone,timedone,deleted,wactivity_id,wactivity_repetition_id,wactivity_type,wactivity_time,wactivity_distance,wactivity_speed,wactivity_label,wactivity_comment,wactivity_read_comment,wactivity_pace,wactivity_percentage,wactivity_seq,wactivity_deleted
146807,140260,25853,398.08081126213074,11.942424337863923,120000,0,140260,136339,TIME,120,0,NULL,RUNNING,"riprendi la corsa aumenta gradualmente il passo, mantieni una velocità sostenuta",1,0,0,1,0
146808,140261,25853,155.68702685832977,9.341221611499787,60000,0,140261,136339,TIME,60,0,NULL,RUNNING,"vai al tuo solito passo",1,0,0,2,0
146809,140260,25853,406.6485435962677,12.199456307888031,120000,0,140260,136339,TIME,120,0,NULL,RUNNING,"riprendi la corsa aumenta gradualmente il passo, mantieni una velocità sostenuta",1,0,0,1,0
146810,140261,25853,147.7374427318573,8.864246563911438,60000,0,140261,136339,TIME,60,0,NULL,RUNNING,"vai al tuo solito passo",1,0,0,2,0
146811,140260,25853,394.82160782814026,11.844648234844207,120000,0,140260,136339,TIME,120,0,NULL,RUNNING,"riprendi la corsa aumenta gradualmente il passo, mantieni una velocità sostenuta",1,0,0,1,0
146812,140261,25853,174.34899818897247,10.460939891338349,60000,0,140261,136339,TIME,60,0,NULL,RUNNING,"vai al tuo solito passo",1,0,0,2,0
146813,140262,25853,91.99779121391475,2.7599337364174428,120000,0,140262,136340,TIME,120,0,NULL,REST,,1,0,0,8,0
146814,140263,25853,2342.9532644301653,9.371813057720662,900000,0,140263,136341,TIME,900,0,NULL,RUNNING,"vai a un passo blando per defaticare",1,0,0,1,0
146815,140264,25853,33.370297269080766,1.0011089180724229,120000,0,140264,136342,TIME,120,0,NULL,REST,,1,0,0,1,0
146816,140274,25853,32.397964145522565,1.774150759414074,65740,0,140274,136351,EXTRA,0,0,0,UNKNOWN,,1,0,100,1,0
148388,140265,26111,1471.5396015942097,8.829237609565258,600000,0,140265,136343,TIME,600,0,NULL,RUNNING,,1,0,0,1,0
